"","Name","2018Ridership","Rank2018","geometry"
"381","Astoria-Ditmars Blvd",15663,89,c(-73.9120340001031, 40.7750356665237)
"382","Beach 105 St",261,424,c(-73.8275807503453, 40.5832684381029)
"383","Beach 25 St",1792,403,c(-73.7613529976207, 40.6000660010588)
"384","Beach 36 St",887,418,c(-73.7681749993969, 40.5953980016688)
"385","Beach 44 St",693,420,c(-73.7760129999951, 40.5929429990862)
"386","Beach 60 St",2013,396,c(-73.7885219980118, 40.5923740012123)
"387","Beach 67 St-Arverne By The Sea",2103,391,c(-73.7969239998421, 40.5909270007813)
"388","Beach 90 St",1097,413,c(-73.8136514041963, 40.5880915645732)
"389","Beach 98 St",481,422,c(-73.8205205895952, 40.5853856913328)
"390","Briarwood-Van Wyck Blvd",4913,287,c(-73.8206926363744, 40.7091618153695)
"391","Broad Channel",285,423,c(-73.8158326878296, 40.6084021806968)
"392","Broadway",8473,179,c(-73.9258229991991, 40.7614319988005)
"393","Court Sq",23995,51,c(-73.9460547026633, 40.7477681214143)
"394","Elmhurst Av",12463,125,c(-73.8820347465864, 40.7423700797217)
"395","Far Rockaway-MottAv",4435,314,c(-73.7554049992473, 40.6039950016875)
"396","Flushing-Main St",55669,13,c(-73.8300300026251, 40.7595999991501)
"397","Forest Av",3124,365,c(-73.9030750000595, 40.7044120008781)
"398","Forest Hills-71 Av",26613,38,c(-73.8445167201267, 40.7215943095359)
"399","Fresh Pond Rd",4716,299,c(-73.8958980017196, 40.7062259982305)
"400","Grand Av-Newtown",18489,75,c(-73.8772208566918, 40.7368134181971)
"401","Howard Beach-JFK Airport",3376,348,c(-73.8303010007103, 40.6604760000496)
"402","Hunters Point Av",7205,210,c(-73.9489160009391, 40.7422159998632)
"403","Jamaica Center-Parsons-Archer",36368,26,c(-73.8010963229892, 40.7020673762119)
"404","Jamaica-179 St",21452,60,c(-73.7838170017645, 40.712645666744)
"405","Jamaica-Van Wyck",4717,298,c(-73.8170128713541, 40.7028985528731)
"406","Junction Blvd",21100,64,c(-73.8695270010352, 40.7491449994884)
"407","Kew Gardens-Union Turnpike",25536,45,c(-73.8303702709878, 40.714034819571)
"408","Mets - Willets Point",4606,305,c(-73.8456249984179, 40.7546219988126)
"409","Middle Village - Metropolitan Av",3225,355,c(-73.8895772297809, 40.7114313050583)
"410","Northern Blvd",6904,224,c(-73.9060650805236, 40.7528248292361)
"411","Ozone Park - Lefferts Blvd",7591,199,c(-73.8257979990661, 40.6859509987836)
"412","Parsons Blvd",6462,236,c(-73.8032890002189, 40.7075719996157)
"413","Queens Plaza",12747,119,c(-73.9371382396569, 40.7489177198632)
"414","Queensboro Plaza",14517,103,c(-73.9401635351909, 40.7506356510148)
"415","Rockaway Blvd",7534,201,c(-73.9119459972662, 40.6783399998835)
"416","Rockaway Park-Beach 116 St",696,419,c(-73.9089583358445, 40.6626174881522)
"417","Seneca Av",1818,402,c(-73.9075819988542, 40.702918998949)
"418","Steinway St",15590,91,c(-73.9205264716827, 40.7569873591258)
"419","Sutphin Blvd",4291,318,c(-73.8108329989723, 40.7054179990676)
"420","Sutphin Blvd-Archer Av-JFK Airport",23388,54,c(-73.8080047196383, 40.700382424235)
"421","Vernon Blvd - Jackson Av",15093,96,c(-73.9535809987525, 40.7426259996975)
"422","Woodhaven Blvd",4771,294,c(-73.8520519974079, 40.693703998801)
"423","Woodhaven Blvd",20704,66,c(-73.8694320861235, 40.7330973738097)
"424","Woodside-61 St",16501,83,c(-73.9029840017301, 40.7456300011384)
