"","Name","2018Ridership","Rank2018","geometry"
"88","79 St",6177,245,c(-74.0005828743151, 40.6131589256952)
"89","8 Av",11474,133,c(-74.0025780010476, 40.739776666382)
"90","86 St",1928,397,c(-73.9762179985933, 40.7886440007389)
"91","86 St",11338,136,c(-73.9517709096492, 40.7778610433316)
"92","9 Av",5344,275,c(-73.994448744512, 40.6464840772664)
"93","Alabama Av",2147,389,c(-73.8985260015965, 40.6769980000038)
"94","Atlantic Av",1842,400,c(-73.9030969995401, 40.6753446664081)
"95","Atlantic Av-Barclays Ctr",43211,19,c(-73.9788099995677, 40.6836656672794)
"96","Avenue H",3418,345,c(-73.961517939425, 40.6292083775897)
"97","Avenue I",1096,414,c(-73.9760693317093, 40.6250174401914)
"98","Avenue J",6058,250,c(-73.9606931624693, 40.6250228199152)
"99","Avenue M",6001,255,c(-73.9592431052215, 40.6173977444437)
"100","Avenue N",2087,392,c(-73.9740485087314, 40.6143567119088)
"101","Avenue P",1710,408,c(-73.9730028152875, 40.6088428089499)
"102","Avenue U",1042,415,c(-73.9733764197488, 40.5959248255175)
"103","Avenue U",2627,380,c(-73.9790840009943, 40.5972359999204)
"104","Avenue U",7323,203,c(-73.955811223163, 40.5993089509548)
"105","Avenue X",2662,378,c(-73.9742659996891, 40.5894496666253)
"106","Bay 50 St",2674,377,c(-73.9837650004595, 40.5888406665193)
"107","Bay Pkwy",7719,194,c(-73.9936762000529, 40.6019504615723)
"108","Bay Pkwy",623,421,c(-73.9752569782215, 40.6207316231679)
"109","Bay Pkwy",7261,206,c(-73.9817800106929, 40.6114557898901)
"110","Bay Ridge Av",7236,208,c(-74.0233769995073, 40.6349666668238)
"111","Bay Ridge-95 St",5812,258,c(-74.0308760008576, 40.6166216672595)
"112","Bedford Av",26603,39,c(-73.9566649980652, 40.717173998589)
"113","Bedford-Nostrand Avs",8821,173,c(-73.9535220006402, 40.6896270015844)
"114","Bergen St",3653,335,c(-73.9749991511681, 40.6808621368296)
"115","Bergen St",11174,137,c(-73.9907564957357, 40.6861105472598)
"116","Beverley Rd",3350,349,c(-73.9643577962313, 40.6439045986042)
"117","Beverly Rd",4255,319,c(-73.948847983817, 40.6451235189437)
"118","Brighton Beach",12065,128,c(-73.961353785988, 40.5777101966424)
"119","Broadway",4467,312,c(-73.9503122560662, 40.7061265762742)
"120","Broadway Junction",8142,186,c(-73.9042899974641, 40.6793660014737)
"121","Bushwick Av-Aberdeen St",2079,394,c(-73.9052617630511, 40.6828606255118)
"122","Canarsie-Rockaway Pkwy",11947,130,c(-73.9018500001729, 40.6466536673953)
"123","Carroll St",11562,132,c(-73.9949469799884, 40.6802733517018)
"124","Central Av",2393,386,c(-73.9272429990284, 40.6978730001183)
"125","Chauncey St",3387,347,c(-73.9103835703338, 40.682851300878)
"126","Church Av",9193,169,c(-73.9494551403533, 40.6508606878022)
"127","Church Av",16528,82,c(-73.9628824619211, 40.6504932464648)
"128","Church Av",9492,165,c(-73.9797211622908, 40.64427200013)
"129","Clark St",5275,279,c(-73.9930859982196, 40.6974659999647)
"130","Classon Av",5301,277,c(-73.9599900013721, 40.6888890002646)
"131","Cleveland St",2975,369,c(-73.8851940021643, 40.6797779989612)
"132","Clinton-Washington Avs",7068,215,c(-73.9658379985728, 40.6832629991264)
"133","Clinton-Washington Avs",5025,286,c(-73.9667959986695, 40.6880940010605)
"134","Coney Island-Stillwell Av",13203,115,c(-73.9812359981396, 40.5772810000675)
"135","Cortelyou Rd",6276,244,c(-73.9637900550549, 40.6409401651401)
"136","Court St /Borough Hall",35599,28,c(-73.9901510009054, 40.692403999991)
"137","Crescent St",4539,308,c(-73.8739292521578, 40.6831526570774)
"138","Crown Heights-Utica Av",25336,48,c(-73.9329325608185, 40.6689783110781)
"139","Cypress Hills",1457,411,c(-73.87332199883, 40.6896160008388)
"140","DeKalb Av",22069,59,c(-73.9817709444095, 40.6906481199698)
"141","DeKalb Av",12638,120,c(-73.9182320021972, 40.7036929996164)
"142","Ditmas Av",3904,328,c(-73.9781719996516, 40.6361186666629)
"143","East 105 St",3798,329,c(-73.8995476938872, 40.650468785447)
"144","Eastern Pkwy-Brooklyn Museum",4637,303,c(-73.9642220374842, 40.6720322354592)
"145","Euclid Av",10191,158,c(-73.8721060009968, 40.6753769982394)
"146","Flatbush Av-Brooklyn College",19763,68,c(-73.9475412073441, 40.6328424070074)
"147","Flushing Av",2949,370,c(-73.9502340010257, 40.7003766662215)
"148","Flushing Av",8336,183,c(-73.9413773483837, 40.7004044029811)
"149","Fort Hamilton Pkwy",3936,326,c(-73.9942022375285, 40.6409127114447)
"150","Fort Hamilton Pkwy",5807,260,c(-73.9757759991747, 40.6507816680342)
"151","Fort Hamilton Pkwy",3232,353,c(-74.0053510004628, 40.6313856672244)
"152","Franklin Av /Botanic Garden",14581,102,c(-73.9580997367769, 40.6707651534489)
"153","Franklin Av",6358,240,c(-73.9568480001461, 40.6813796665874)
"154","Fulton St",5462,271,c(-73.9753749983315, 40.6871189995077)
"155","Gates Av",7255,207,c(-73.9221560015075, 40.6895839990139)
"156","Graham Av",9959,160,c(-73.9439439986904, 40.7145759983636)
"157","Grand Army Plaza",7188,211,c(-73.9709563319228, 40.6752946951032)
"158","Grand St",6964,220,c(-73.9404969987464, 40.7115760006482)
"159","Grant Av",5896,257,c(-73.865049998777, 40.6770440005448)
"160","Greenpoint Av",9509,164,c(-73.9544250014624, 40.7312669997146)
"161","Halsey St",6579,233,c(-73.9166388842194, 40.6864152707043)
"162","Halsey St",8386,182,c(-73.9039340011863, 40.6955180011488)
"163","Hewes St",2782,374,c(-73.9534880003846, 40.706889998054)
"164","High St",10281,155,c(-73.9905310006546, 40.6993369997788)
"165","Hoyt St",6938,221,c(-73.9850637957565, 40.6905441853547)
"166","Hoyt-Schermerhorn Sts",10540,148,c(-73.9850362403414, 40.6884084758064)
"167","Jay St-MetroTech",42274,21,c(-73.9872181526732, 40.6924706368471)
