Rank,Neighborhood,Jobs Accessible,Median Income,Borough,Population,ZIP
134,Fresh Meadows (South),"1,248,244","$71,350",Queens,"13,499",11366
135,South Ozone Park (West),"1,201,171","$59,832",Queens,"48,449",11420
136,South Ozone Park (East),"1,164,868","$62,114",Queens,"17,636",11436
137,Coney Island,"1,120,071","$27,481",Brooklyn,"42,535",11224
138,Queens Village (North),"1,104,744","$69,330",Queens,"20,307",11428
139,Parkchester/ Van Nest,"1,097,589","$45,864",Bronx,"77,369",10462
140,Fresh Meadows/ Utopia,"1,066,412","$55,492",Queens,"41,924",11365
141,Arrochar/Shore Acres,"1,062,189","$70,758",Staten Island,"42,006",10305
142,Hammels,"1,033,867","$50,570",Queens,"11,335",11693
143,Stapleton/Clifton,"977,862","$53,168",Staten Island,"43,084",10304
144,Morris Park,"972,229","$52,347",Bronx,"51,730",10461
145,Oakland Gardens,"920,930","$72,909",Queens,"34,751",11364
146,Bay Terrace,"889,208","$76,183",Queens,"19,865",11360
147,Bellaire,"865,057","$68,890",Queens,"28,311",11429
148,Bellerose/Floral Park,"727,542","$82,301",Queens,"19,575",11426
149,Howard Beach,"726,623","$66,790",Queens,"28,094",11414
150,Hollis Hills,"726,295","$70,108",Queens,"24,877",11427
151,Riverdale/ Fieldston,"713,734","$71,798",Bronx,"22,030",10471
152,St. Albans,"713,520","$70,672",Queens,"37,176",11412
153,Glen Oaks,"684,920","$81,709",Queens,"14,500",11004
154,Springfield Gardens/Rochdale,"629,016","$59,229",Queens,"62,809",11434
155,Arverne,"569,033","$43,354",Queens,"17,674",11692
156,Cambria Heights,"485,002","$83,099",Queens,"18,722",11411
157,Edenwald,"468,871","$44,012",Bronx,"70,609",10466
158,Little Neck,"468,367","$82,332",Queens,"17,865",11362
159,Clason Point,"449,405","$35,866",Bronx,"58,660",10473
160,West Staten Island,"377,103","$77,242",Staten Island,"87,276",10314
161,Far Rockaway,"271,012","$39,409",Queens,"61,091",11691
162,Co-Op City,"267,187","$43,629",Bronx,"43,231",10475
163,Belle Harbor,"241,161","$76,944",Queens,"21,725",11694
164,Throggs Neck,"233,590","$65,450",Bronx,"44,862",10465
165,Port Richmond,"220,249","$61,925",Staten Island,"25,227",10310
166,Oakwood,"201,473","$75,807",Staten Island,"55,902",10306
167,Flatlands,"201,422","$68,431",Brooklyn,"94,259",11234
168,North Staten Island,"181,994","$56,848",Staten Island,"38,885",10301
169,East New York (South),"180,235","$26,275",Brooklyn,"12,879",11239
170,Great Kills,"180,062","$88,075",Staten Island,"28,939",10308
171,Elm Park,"151,435","$56,841",Staten Island,"16,811",10302
172,City Island,"100,000","$70,078",Bronx,"4,248",10464
173,Mariners Harbor,"94,405","$51,537",Staten Island,"24,537",10303
174,Annadale/Arden Heights,"63,657","$85,324",Staten Island,"60,081",10312
175,Tottenville,"60,135","$86,457",Staten Island,"14,829",10307
176,South Staten Island,"46,509","$86,297",Staten Island,"32,646",10309
177,Breezy Point,"42,623","$87,636",Queens,"4,223",11697
,AVERAGE NYC NEIGHBORHOOD,"2,477,488","$63,146",Manhattan,"46,664",
